Epoch,Loss,Time (s),CPU Memory (MB),GPU Memory (MB),CPU Usage (%),GPU Power (W)
1,1.3573499999999998,47.848,4602.872,2261.75,16.28,31.560000000000002
2,1.03386,45.338,4605.1089999999995,2261.75,17.82,34.571999999999996
3,0.93591,45.714,4605.593,2261.75,17.72,34.717
4,0.86926,45.376,4605.9800000000005,2261.75,17.81,35.439
5,0.81724,45.527,4605.486,2261.75,17.84,36.237
6,0.77351,45.495,4605.627,2261.75,17.740000000000002,33.172000000000004
7,0.7345900000000001,45.416000000000004,4606.064,2261.75,17.8,32.946000000000005
8,0.69696,45.363,4606.081,2261.75,17.82,33.261
9,0.6641199999999999,45.089,4606.1,2261.75,17.84,32.292
10,0.63323,45.285000000000004,4605.925,2261.75,17.8,31.738999999999997
11,0.60639,45.346999999999994,4605.91,2261.75,17.77,33.108999999999995
12,0.58379,45.135000000000005,4606.101000000001,2261.75,17.830000000000002,32.757
13,0.56448,45.257999999999996,4606.103,2261.75,17.78,33.274
14,0.54814,45.265,4605.727,2261.75,17.77,32.928
15,0.53349,45.492000000000004,4605.905000000001,2261.75,17.77,31.287
16,0.52121,45.421,4606.076,2261.75,17.759999999999998,30.744
17,0.51034,45.119,4606.101000000001,2261.75,17.79,33.792
18,0.49919,45.122,4606.102,2261.75,17.82,32.176
19,0.49058999999999997,45.299,4605.989,2261.75,17.81,32.789
20,0.4829,45.147000000000006,4605.902,2261.75,17.77,35.900999999999996
21,0.47475000000000006,45.227,4606.076,2261.75,17.830000000000002,30.05
22,0.4688800000000001,45.412,4606.102,2261.75,17.759999999999998,31.839999999999996
23,0.46196000000000004,45.281,4605.776,2261.75,17.82,33.136
24,0.45594,45.223,4605.92,2261.75,17.8,32.575
25,0.45275999999999994,45.226,4605.979,2261.75,17.81,33.678999999999995
26,0.44462999999999997,44.989,4606.052,2261.75,17.869999999999997,34.699
27,0.44127,45.154,4606.09,2261.75,17.82,32.695
28,0.43671,45.298,4605.972,2261.75,17.830000000000002,33.472
29,0.43283000000000005,45.168,4605.927,2261.75,17.79,32.591
30,0.42948000000000003,45.118,4606.063,2261.75,17.759999999999998,33.403999999999996
31,0.42559,45.257999999999996,4606.051,2261.75,17.79,33.397000000000006
32,0.42060000000000003,45.476,4605.84,2261.75,17.77,33.416000000000004
33,0.42008,45.119,4605.9839999999995,2261.75,17.81,33.044
34,0.41604,45.339,4606.027,2261.75,17.79,35.012
35,0.41330999999999996,45.339,4606.053,2261.75,17.8,32.204
36,0.41032,45.434000000000005,4606.089,2261.75,17.77,33.415
37,0.40675999999999995,45.233,4605.901,2261.75,17.759999999999998,32.394
38,0.40529000000000004,45.193,4605.9,2261.75,17.82,33.214
39,0.3971,45.31375,4606.38125,2261.75,17.8125,34.36625
40,0.3949625,45.30875,4606.3825,2261.75,17.7875,33.61625
41,0.3939875,45.40125,4606.225,2261.75,17.8125,31.075
42,0.39056250000000003,45.35875,4606.33375,2261.75,17.7125,30.225
43,0.389,45.4625,4606.3825,2261.75,17.7875,31.3125
44,0.387675,45.551249999999996,4606.35,2261.75,17.75,32.97125
45,0.38415,45.55375,4606.38375,2261.75,17.75,31.48125
46,0.383475,44.948750000000004,4606.29,2261.75,17.875,31.55375
47,0.3832625,45.3425,4606.3,2261.75,17.825,33.2
48,0.379,45.58625,4606.38375,2261.75,17.7625,33.04375
49,0.3763125,45.4425,4606.30125,2261.75,17.9125,30.14625
50,0.3781875,45.62625,4606.225,2261.75,17.8875,32.24625
